Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB SMX46 r1B2.brd" as of: 20.9.2020. 13:34
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,4.630,0.885,0
C2,Top,4.615,0.812,180
C3,Top,5.395,1.298,180
C4,Top,4.093,0.750,0
C5,Top,4.600,0.517,180
C6,Top,4.585,0.590,0
C7,Top,3.595,0.420,0
C8,Top,3.018,0.665,180
C9,Top,3.330,0.680,270
C10,Top,3.018,0.743,0
C11,Top,3.447,1.073,0
C12,Top,4.020,1.153,0
C13,Top,3.865,1.153,180
C14,Top,4.088,0.990,0
C15,Top,3.250,1.145,180
C16,Top,2.955,1.073,0
C17,Top,4.020,0.825,0
C18,Top,3.865,0.825,180
D1,Top,2.220,0.760,90
D2,Top,1.170,3.100,90
D3,Top,1.170,2.600,90
D4,Top,1.170,2.100,90
D5,Top,1.170,1.600,90
D6,Top,1.920,3.100,90
D7,Top,1.920,2.600,90
D8,Top,1.920,2.100,90
D9,Top,1.920,1.600,90
D10,Top,2.670,3.100,90
D11,Top,2.670,2.600,90
D12,Top,2.670,2.100,90
D13,Top,2.670,1.600,90
D14,Top,3.420,3.100,90
D15,Top,3.420,2.600,90
D16,Top,3.420,2.100,90
D17,Top,3.420,1.600,90
D18,Top,4.170,3.100,90
D19,Top,4.170,2.600,90
D20,Top,4.170,2.100,90
D21,Top,4.170,1.600,90
D22,Top,4.920,3.100,90
D23,Top,4.920,2.600,90
D24,Top,4.920,2.100,90
D25,Top,4.920,1.600,90
DIB1.1,Top,2.578,0.645,180
FM1,Top,0.630,3.622,0
FM2,Top,5.630,0.118,0
IC1,Top,4.878,0.635,0
IC2,Top,3.940,0.720,0
IC3,Top,3.817,0.492,180
IC4,Top,3.192,0.715,180
IC5,Top,3.942,0.990,0
IC6,Top,3.200,1.002,0
K1,Top,1.520,3.200,0
K2,Top,2.270,3.200,0
K3,Top,3.020,3.200,0
K4,Top,3.770,3.200,0
K5,Top,4.520,3.200,0
K6,Top,5.270,3.200,0
K7,Top,1.520,2.700,0
K8,Top,2.270,2.700,0
K9,Top,3.020,2.700,0
K10,Top,3.770,2.700,0
K11,Top,4.520,2.700,0
K12,Top,5.270,2.700,0
K13,Top,1.520,2.200,0
K14,Top,2.270,2.200,0
K15,Top,3.020,2.200,0
K16,Top,3.770,2.200,0
K17,Top,4.520,2.200,0
K18,Top,5.270,2.200,0
K19,Top,1.520,1.700,0
K20,Top,2.270,1.700,0
K21,Top,3.020,1.700,0
K22,Top,3.770,1.700,0
K23,Top,4.520,1.700,0
K24,Top,5.270,1.700,0
Q1,Top,2.288,1.075,180
Q2,Top,1.270,3.507,270
Q3,Top,1.120,3.507,270
Q4,Top,1.120,1.330,90
Q5,Top,1.270,1.330,90
Q6,Top,2.020,3.507,270
Q7,Top,1.870,3.507,270
Q8,Top,1.870,1.330,90
Q9,Top,2.020,1.330,90
Q10,Top,2.770,3.507,270
Q11,Top,2.620,3.507,270
Q12,Top,2.620,1.330,90
Q13,Top,2.770,1.330,90
Q14,Top,3.520,3.507,270
Q15,Top,3.370,3.507,270
Q16,Top,3.370,1.330,90
Q17,Top,3.520,1.330,90
Q18,Top,4.270,3.507,270
Q19,Top,4.120,3.507,270
Q20,Top,4.120,1.330,90
Q21,Top,4.270,1.330,90
Q22,Top,5.020,3.507,270
Q23,Top,4.870,3.507,270
Q24,Top,4.870,1.330,90
Q25,Top,5.020,1.330,90
R1,Top,4.285,0.725,90
R2,Top,2.417,1.055,270
R3,Top,3.447,0.995,0
R4,Top,3.447,0.917,180
R5,Top,3.865,1.080,0
R6,Top,2.672,1.100,90
R7,Top,3.447,1.150,0
R8,Top,4.020,1.080,180
R9,Top,2.955,0.995,180
R10,Top,2.955,0.917,0
R11,Top,3.865,0.897,0
R12,Top,2.580,1.100,90
R13,Top,2.955,1.150,180
R14,Top,4.020,0.897,180
RN1,Top,5.090,0.398,180
RN2,Top,4.088,0.465,270
RN3,Top,2.270,3.520,90
RN4,Top,3.770,3.520,90
RN5,Top,5.270,3.520,90
RN6,Top,1.520,1.320,90
RN7,Top,3.020,1.290,90
RN8,Top,4.610,1.290,90
TVS1,Top,2.672,0.935,90
TVS2,Top,2.583,0.938,90
ZD1,Top,2.220,0.938,270
ZD2,Top,1.170,3.300,270
ZD3,Top,1.170,2.800,270
ZD4,Top,1.170,2.300,270
ZD5,Top,1.170,1.800,270
ZD6,Top,1.920,3.300,270
ZD7,Top,1.920,2.800,270
ZD8,Top,1.920,2.300,270
ZD9,Top,1.920,1.800,270
ZD10,Top,2.670,3.300,270
ZD11,Top,2.670,2.800,270
ZD12,Top,2.670,2.300,270
ZD13,Top,2.670,1.800,270
ZD14,Top,3.420,3.300,270
ZD15,Top,3.420,2.800,270
ZD16,Top,3.420,2.300,270
ZD17,Top,3.420,1.800,270
ZD18,Top,4.170,3.300,270
ZD19,Top,4.170,2.800,270
ZD20,Top,4.170,2.300,270
ZD21,Top,4.170,1.800,270
ZD22,Top,4.920,3.300,270
ZD23,Top,4.920,2.800,270
ZD24,Top,4.920,2.300,270
ZD25,Top,4.920,1.800,270
